Date,chamber,leaf,T_treatment,Water_treatment,percent_starch,starch_mgg,percent_sugar,sugar_mgg,percent_TNC,TNC_mgg,leafarea_cm2,leafmass_g
2013-08-20,C03,1,ambient,control,10.97942577,109.7942577,14.03015692,140.3015692,25.00958269,250.0958269,42.39,0.45
2013-08-20,C03,2,ambient,control,7.097500025,70.97500025,11.32072421,113.2072421,18.41822423,184.1822423,44.78,0.496
2013-08-20,C03,3,ambient,control,10.75035741,107.5035741,13.43520284,134.3520284,24.18556025,241.8556025,40.72,0.438
2013-08-20,C04,1,elevated,control,24.46068087,244.6068087,10.44703358,104.4703358,34.90771444,349.0771444,32.85,0.469
2013-08-20,C04,2,elevated,control,27.97899714,279.7899714,11.7221187,117.221187,39.70111584,397.0111584,45.62,0.672
2013-08-20,C04,3,elevated,control,24.04311458,240.4311458,10.06127597,100.6127597,34.10439055,341.0439055,44.98,0.632
2013-08-20,C05,1,ambient,control,30.76322375,307.6322375,11.88648714,118.8648714,42.6497109,426.497109,22.45,0.348
2013-08-20,C05,2,ambient,control,29.01907076,290.1907076,11.97641077,119.7641077,40.99548153,409.9548153,25.43,0.404
2013-08-20,C05,3,ambient,control,29.38783159,293.8783159,15.08001603,150.8001603,44.46784762,444.6784762,21.31,0.276
2013-08-20,C06,1,elevated,control,18.13938732,181.3938732,12.16831775,121.6831775,30.30770507,303.0770507,35.36,0.416
2013-08-20,C06,2,elevated,control,23.50859194,235.0859194,12.37168015,123.7168015,35.88027209,358.8027209,36.4,0.455
2013-08-20,C06,3,elevated,control,18.25853506,182.5853506,12.94714801,129.4714801,31.20568307,312.0568307,32.63,0.406
2013-08-20,C07,1,ambient,control,24.3787032,243.787032,10.81025255,108.1025255,35.18895576,351.8895576,48.22,0.7
2013-08-20,C07,2,ambient,control,22.8646761,228.646761,13.10064506,131.0064506,35.96532116,359.6532116,50.25,0.74
2013-08-20,C07,3,ambient,control,14.29265091,142.9265091,11.61857251,116.1857251,25.91122342,259.1122342,48.19,0.569
2013-08-20,C08,1,elevated,control,27.12958913,271.2958913,12.71901963,127.1901963,39.84860876,398.4860876,62.45,0.915
2013-08-20,C08,2,elevated,control,19.60950129,196.0950129,12.10083418,121.0083418,31.71033547,317.1033547,64.01,0.902
2013-08-20,C08,3,elevated,control,15.27357058,152.7357058,13.81261896,138.1261896,29.08618955,290.8618955,58.72,0.625
2013-08-20,C09,1,ambient,control,14.72425759,147.2425759,16.37837678,163.7837678,31.10263437,311.0263437,41.59,0.582
2013-08-20,C09,2,ambient,control,14.94378565,149.4378565,14.49822657,144.9822657,29.44201222,294.4201222,38.23,0.587
2013-08-20,C09,3,ambient,control,16.41859726,164.1859726,15.20399037,152.0399037,31.62258763,316.2258763,38.22,0.558
2013-08-20,C10,1,elevated,control,18.53242414,185.3242414,10.67938892,106.7938892,29.21181306,292.1181306,34.51,0.39
2013-08-20,C10,2,elevated,control,9.598155329,95.98155329,14.13967047,141.3967047,23.7378258,237.378258,32.04,0.276
2013-08-20,C10,3,elevated,control,16.03246446,160.3246446,14.056426,140.56426,30.08889045,300.8889045,32.62,0.312
2013-08-20,C11,1,ambient,control,14.32118375,143.2118375,12.76152673,127.6152673,27.08271048,270.8271048,33.8,0.348
2013-08-20,C11,2,ambient,control,14.49336541,144.9336541,13.17123518,131.7123518,27.66460059,276.6460059,33.36,0.423
2013-08-20,C11,3,ambient,control,15.41228974,154.1228974,13.6540038,136.540038,29.06629354,290.6629354,37.12,0.395
2013-08-20,C12,1,elevated,control,19.16630163,191.6630163,11.38843448,113.8843448,30.5547361,305.547361,41.24,0.502
2013-08-20,C12,2,elevated,control,18.61717075,186.1717075,11.79160784,117.9160784,30.40877859,304.0877859,36.94,0.419
2013-08-20,C12,3,elevated,control,17.31828855,173.1828855,14.46542708,144.6542708,31.78371564,317.8371564,40.67,0.448
2013-09-19,C01,1,ambient,control,16.41838659,164.1838659,11.18722642,111.8722642,27.60561301,276.0561301,31.85,0.3389
2013-09-19,C01,2,ambient,control,16.76072139,167.6072139,11.67545934,116.7545934,28.43618073,284.3618073,41.7,0.4788
2013-09-19,C01,3,ambient,control,12.5432154,125.432154,11.42079619,114.2079619,23.96401159,239.6401159,39.96,0.3864
2013-09-19,C02,1,elevated,control,8.400565715,84.00565715,10.18784711,101.8784711,18.58841283,185.8841283,50.18,0.5322
2013-09-19,C02,2,elevated,control,7.997054871,79.97054871,9.107394066,91.07394066,17.10444894,171.0444894,31.87,0.3065
2013-09-19,C02,3,elevated,control,6.36178899,63.6178899,7.812859729,78.12859729,14.17464872,141.7464872,42.88,0.3646
2013-09-19,C03,1,ambient,control,9.402181868,94.02181868,11.05650499,110.5650499,20.45868686,204.5868686,33.37,0.4008
2013-09-19,C03,2,ambient,control,10.08636399,100.8636399,11.5794043,115.794043,21.66576829,216.6576829,59.24,0.6853
2013-09-19,C03,3,ambient,control,8.79373966,87.9373966,10.5025194,105.025194,19.29625906,192.9625906,57.57,0.6313
2013-09-19,C04,1,elevated,control,26.85079801,268.5079801,9.799657561,97.99657561,36.65045557,366.5045557,43.91,0.6382
