Sample Date,Time,Chamber,Canopy Position,Starch,Soluble Sugars,TNC
26/03/2014,8:00,C12,Lower,128.93,87.55,216.48
26/03/2014,8:00,C12,Upper,67.84,68.76,136.6
26/03/2014,10:00,C01,Lower,91.56,85.3,176.85
26/03/2014,10:00,C01,Upper,78.68,76.11,154.78
26/03/2014,10:00,C02,Lower,64.34,85.04,149.38
26/03/2014,10:00,C02,Upper,61.62,71.59,133.21
26/03/2014,10:00,C03,Lower,91.08,79.24,170.31
26/03/2014,10:00,C03,Upper,65.57,58.53,124.1
26/03/2014,10:00,C04,Lower,119.86,83.98,203.84
26/03/2014,10:00,C04,Upper,54.13,84.06,138.19
26/03/2014,10:00,C05,Lower,77.41,85.74,163.15
26/03/2014,10:00,C05,Upper,70.99,83.15,154.14
26/03/2014,10:00,C06,Lower,73.78,85.93,159.72
26/03/2014,10:00,C06,Upper,64.39,71.29,135.68
26/03/2014,10:00,C07,Lower,110.61,80.66,191.27
26/03/2014,10:00,C07,Upper,103.34,75.13,178.47
26/03/2014,10:00,C08,Lower,75.58,77.92,153.5
26/03/2014,10:00,C08,Upper,61.25,92.08,153.34
26/03/2014,10:00,C09,Lower,79.47,93.11,172.58
26/03/2014,10:00,C09,Upper,59.67,66.73,126.4
26/03/2014,10:00,C10,Lower,98.88,93.43,192.31
26/03/2014,10:00,C10,Upper,78.5,84.33,162.84
26/03/2014,10:00,C11,Lower,73.4,74.79,148.18
26/03/2014,10:00,C11,Upper,93.87,85.95,179.82
26/03/2014,10:00,C12,Lower,170.11,82.44,252.55
26/03/2014,10:00,C12,Upper,70.32,77.26,147.57
26/03/2014,12:00,C01,Lower,103.87,81.75,185.61
26/03/2014,12:00,C01,Upper,88.29,78.88,167.17
26/03/2014,12:00,C02,Lower,149.45,90.37,239.82
26/03/2014,12:00,C02,Upper,69.1,69.02,138.12
26/03/2014,12:00,C03,Lower,119.28,87.27,206.55
26/03/2014,12:00,C03,Upper,71.74,68.88,140.62
26/03/2014,12:00,C04,Lower,118.54,87.62,206.15
26/03/2014,12:00,C04,Upper,78.31,101.51,179.82
26/03/2014,12:00,C05,Lower,72.99,90.48,163.47
26/03/2014,12:00,C05,Upper,76.7,109.24,185.94
26/03/2014,12:00,C06,Lower,74.17,91.43,165.6
26/03/2014,12:00,C06,Upper,71.8,86.09,157.89
26/03/2014,12:00,C07,Lower,142.52,92.62,235.14
26/03/2014,12:00,C07,Upper,112.59,92.99,205.58
26/03/2014,12:00,C08,Lower,74.22,89.64,163.86
26/03/2014,12:00,C08,Upper,69.27,103.36,172.63
26/03/2014,12:00,C09,Lower,72.81,88.47,161.28
26/03/2014,12:00,C09,Upper,57.82,70.47,128.28
26/03/2014,12:00,C10,Lower,153.01,91.93,244.94
26/03/2014,12:00,C10,Upper,82.81,86.19,169
26/03/2014,12:00,C11,Lower,134.97,97.04,232.01
26/03/2014,12:00,C11,Upper,113.8,83.86,197.66
26/03/2014,12:00,C12,Lower,223.88,84,307.89
26/03/2014,12:00,C12,Upper,74.51,73.51,148.02
26/03/2014,14:00,C01,Lower,120.22,82.04,202.26
26/03/2014,14:00,C01,Upper,88.2,93.56,181.75
26/03/2014,14:00,C02,Lower,90.06,82.64,172.7
26/03/2014,14:00,C02,Upper,75.75,82.33,158.09
26/03/2014,14:00,C03,Lower,92.79,92.61,185.4
26/03/2014,14:00,C03,Upper,73.04,71.42,144.47
26/03/2014,14:00,C04,Lower,127.62,86.29,213.92
26/03/2014,14:00,C04,Upper,77.27,102.04,179.3
26/03/2014,14:00,C05,Lower,68.38,92.28,160.67
26/03/2014,14:00,C05,Upper,69.44,91.32,160.76
26/03/2014,14:00,C06,Lower,84.45,98.44,182.89
26/03/2014,14:00,C06,Upper,64.31,78.21,142.52
26/03/2014,14:00,C07,Lower,135.84,94.53,230.38
26/03/2014,14:00,C07,Upper,97.08,77.67,174.75
26/03/2014,14:00,C08,Lower,91.53,92.61,184.15
26/03/2014,14:00,C08,Upper,82.01,106.95,188.96
26/03/2014,14:00,C09,Lower,104.27,108.28,212.56
26/03/2014,14:00,C09,Upper,79.37,99.65,179.02
26/03/2014,14:00,C10,Lower,136.02,106.58,242.6
26/03/2014,14:00,C10,Upper,98.45,86.86,185.31
26/03/2014,14:00,C11,Lower,101.69,106.39,208.08
26/03/2014,14:00,C11,Upper,110.86,86.42,197.28
